項目,日期,完成日期,狀態,說明,備註,支援人員,支援類別,對象,經銷商,聯絡人,展碁人員,部門,CSA 類別,Solution Play,產品,一般分類,費用,虛擬金額,申請 Incentive,微軟協助人員
產品自動化問答系統建立專案-正式導入,2025/12/30 上午 09:00,2025/12/30 下午 05:00,完成,"已排除程式佈署問題, 服務正式啟用, 發佈TEAMS 機器人","服務正式啟用, 發佈TEAMS 機器人至公司環境",Nick,Weblink Solution Offering,,,,,,AIBS,,,Copilot Studio,,,,
SC-200：安全運營分析師認證課程,2025/9/15 上午 12:00,2025/9/19 下午 04:00,完成,"Microsoft 針對 SC-200 認證考試的教學課程：
針對威脅偵測與回應專業人員，重點培養使用Microsoft安全技術堆疊（Defender系列、Sentinel SIEM）進行安全監控、事件調查與自動化回應的能力。課程涵蓋攻擊指標（IOC）分析、威脅追蹤（Hunting）、多源日誌關聯（KQL查詢）及SOAR劇本開發，幫助學員掌握從雲端到端的安全事件處置全流程，符合現代SOC崗位需求並通過認證。",,Aaron,受訓,,,,,,Security,,,Security,,,,
取得 SC-200 Microsoft 認證：安全營運分析員助理 (Microsoft Certified: Security Operations Analyst Associate) 認證,2026/1/15 上午 03:30,2026/1/15 下午 05:30,完成,取得 SC-200 Microsoft 認證：安全營運分析員助理 (Microsoft Certified: Security Operations Analyst Associate) 認證,,Aaron,Certification,,,,,,Security,,,Security,"10,000",,,
GWS to M365搬遷討論,2026/1/26 上午 11:00,2026/1/26 下午 12:00,完成,孔孟x安然 GWS to M365搬遷討論,針對 Google Drive、Google Chat 等搬遷細節詢問,Aaron,,customer,,,,,,,,M365,,,,
Microsoft 365 商務進階版導入會議,2026/1/30 下午 02:00,2026/1/30 下午 02:30,完成,伸昌電機購買 Microsoft 365 商務進階版後，指導並說明 Defender for Office 365 如何套用與設定 ＋ Defender for Business 如何導入,,Aaron,技術支援,customer,逸凡,,,,Security,,,Security,"1,500",,,
Microsoft 365 管理討論,2026/2/6 下午 05:30,2026/2/6 下午 06:00,完成,Microsoft 365 多網域設定與使用者帳號別名建置說明，說明使用者可用同一個帳號但建立多個別名來收發郵件設定方式,,Aaron,技術支援,經銷商,偉盟,,,,,,,M365,300,,,
M365 說明資安設定優化建議,2026/2/11 下午 04:00,2026/2/11 下午 05:29,完成,"客戶寶島陽光詢問，Microsoft 365 的資安建議
介紹 Microsoft 365 中的 DLP 功能，分別說明 Cloud DLP 和 Endpoint DLP 的差異跟授權，以及 Microsoft Defeder for Business 的功能＋Microsoft Information Protection 的功能",,Aaron,技術支援,customer,,,,,Security,,,Security,"1,500",,,
安心食品Azure搬遷討論,2026/1/16 下午 03:00,2026/1/16 下午 05:00,完成,安心食品從EA搬遷到CSP，確認權限部分,,Lucas,技術支援,customer,,,,,CAIP,,,Azure,,"1,000",,
展碁線上azure webnar,2026/1/21 下午 02:00,2026/1/21 下午 02:30,完成,介紹azure近期更新的線上活動,,Lucas,Webinar,customer,,,,,CAIP,,,Azure,,"20,000",,
azure 線上訓練營,2026/1/21 下午 02:00,2026/1/21 下午 05:00,完成,線上訓練營,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
線上訓練營,2026/1/22 下午 02:00,2026/1/22 下午 05:00,完成,線上訓練營,,Lucas,受訓,,,,,,CAIP,,,Azure,,,,
